3630000,埼玉県,桶川市,
3630002,埼玉県,桶川市,赤堀
3630023,埼玉県,桶川市,朝日
3630021,埼玉県,桶川市,泉
3630001,埼玉県,桶川市,加納
3630026,埼玉県,桶川市,上日出谷
3630024,埼玉県,桶川市,鴨川
3630027,埼玉県,桶川市,川田谷
3630011,埼玉県,桶川市,北
3630006,埼玉県,桶川市,倉田
3630004,埼玉県,桶川市,五町台
3630016,埼玉県,桶川市,寿
3630007,埼玉県,桶川市,小針領家
3630008,埼玉県,桶川市,坂田
3630018,埼玉県,桶川市,坂田西
3630009,埼玉県,桶川市,坂田東
3630003,埼玉県,桶川市,篠津
3630025,埼玉県,桶川市,下日出谷
3630028,埼玉県,桶川市,下日出谷西
3630014,埼玉県,桶川市,神明
3630012,埼玉県,桶川市,末広
3630005,埼玉県,桶川市,舎人新田
3630017,埼玉県,桶川市,西
3630013,埼玉県,桶川市,東
3630015,埼玉県,桶川市,南
3630022,埼玉県,桶川市,若宮
3638501,埼玉県,桶川市,泉１丁目３−２８
3638505,埼玉県,桶川市,加納３１０３番地
3638558,埼玉県,桶川市,赤堀２−６
3638509,埼玉県,桶川市,赤堀２丁目４
3638601,埼玉県,桶川市,大字加納１８０（桶川郵便局私書箱第５号）
3638510,埼玉県,桶川市,大字上日出谷１２３０番地
3638555,埼玉県,桶川市,桶川都市計画事業下日出谷東特定土地区画整理事業地内４２街区１画地
